Area,Dimensao,Estrategia,Frequencia,Periodo,Peso,OrdemArea,OrdemDimensao,OrdemEstrategia
Família,Básico,Família Básico 1: Prática simples com a família,Diário,21 dias,1,1,1,1
Família,Básico,Família Básico 2: Prática simples com a família,Diário,21 dias,1,1,1,2
Família,Básico,Família Básico 3: Prática simples com a família,Diário,21 dias,1,1,1,3
Família,Básico,Família Básico 4: Prática simples com a família,Diário,21 dias,1,1,1,4
Família,Básico,Família Básico 5: Prática simples com a família,Diário,21 dias,1,1,1,5
Família,Básico,Família Básico 6: Prática simples com a família,Diário,21 dias,1,1,1,6
Família,Básico,Família Básico 7: Prática simples com a família,Diário,21 dias,1,1,1,7
Família,Básico,Família Básico 8: Prática simples com a família,Diário,21 dias,1,1,1,8
Família,Básico,Família Básico 9: Prática simples com a família,Diário,21 dias,1,1,1,9
Família,Básico,Família Básico 10: Prática simples com a família,Diário,21 dias,1,1,1,10
Família,Básico,Família Básico 11: Prática simples com a família,Diário,21 dias,1,1,1,11
Família,Básico,Família Básico 12: Prática simples com a família,Diário,21 dias,1,1,1,12
Família,Básico,Família Básico 13: Prática simples com a família,Diário,21 dias,1,1,1,13
Família,Básico,Família Básico 14: Prática simples com a família,Diário,21 dias,1,1,1,14
Família,Básico,Família Básico 15: Prática simples com a família,Diário,21 dias,1,1,1,15
Família,Básico,Família Básico 16: Prática simples com a família,Diário,21 dias,1,1,1,16
Família,Básico,Família Básico 17: Prática simples com a família,Diário,21 dias,1,1,1,17
Família,Básico,Família Básico 18: Prática simples com a família,Diário,21 dias,1,1,1,18
Família,Básico,Família Básico 19: Prática simples com a família,Diário,21 dias,1,1,1,19
Família,Básico,Família Básico 20: Prática simples com a família,Diário,21 dias,1,1,1,20
Família,Desafio,Família Desafio 1: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,1
Família,Desafio,Família Desafio 2: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,2
Família,Desafio,Família Desafio 3: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,3
Família,Desafio,Família Desafio 4: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,4
Família,Desafio,Família Desafio 5: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,5
Família,Desafio,Família Desafio 6: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,6
Família,Desafio,Família Desafio 7: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,7
Família,Desafio,Família Desafio 8: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,8
Família,Desafio,Família Desafio 9: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,9
Família,Desafio,Família Desafio 10: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,10
Família,Desafio,Família Desafio 11: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,11
Família,Desafio,Família Desafio 12: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,12
Família,Desafio,Família Desafio 13: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,13
Família,Desafio,Família Desafio 14: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,14
Família,Desafio,Família Desafio 15: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,15
Família,Desafio,Família Desafio 16: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,16
Família,Desafio,Família Desafio 17: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,17
Família,Desafio,Família Desafio 18: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,18
Família,Desafio,Família Desafio 19: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,19
Família,Desafio,Família Desafio 20: Desafio de convivência familiar,Semanal,2 semanas,2,1,2,20
Família,Avançado,Família Avançado 1: Projeto avançado em família,Programa,21 dias,3,1,3,1
Família,Avançado,Família Avançado 2: Projeto avançado em família,Programa,21 dias,3,1,3,2
Família,Avançado,Família Avançado 3: Projeto avançado em família,Programa,21 dias,3,1,3,3
Família,Avançado,Família Avançado 4: Projeto avançado em família,Programa,21 dias,3,1,3,4
Família,Avançado,Família Avançado 5: Projeto avançado em família,Programa,21 dias,3,1,3,5
Família,Avançado,Família Avançado 6: Projeto avançado em família,Programa,21 dias,3,1,3,6
Família,Avançado,Família Avançado 7: Projeto avançado em família,Programa,21 dias,3,1,3,7
Família,Avançado,Família Avançado 8: Projeto avançado em família,Programa,21 dias,3,1,3,8
Família,Avançado,Família Avançado 9: Projeto avançado em família,Programa,21 dias,3,1,3,9
Família,Avançado,Família Avançado 10: Projeto avançado em família,Programa,21 dias,3,1,3,10
Família,Avançado,Família Avançado 11: Projeto avançado em família,Programa,21 dias,3,1,3,11
Família,Avançado,Família Avançado 12: Projeto avançado em família,Programa,21 dias,3,1,3,12
Família,Avançado,Família Avançado 13: Projeto avançado em família,Programa,21 dias,3,1,3,13
Família,Avançado,Família Avançado 14: Projeto avançado em família,Programa,21 dias,3,1,3,14
Família,Avançado,Família Avançado 15: Projeto avançado em família,Programa,21 dias,3,1,3,15
Família,Avançado,Família Avançado 16: Projeto avançado em família,Programa,21 dias,3,1,3,16
Família,Avançado,Família Avançado 17: Projeto avançado em família,Programa,21 dias,3,1,3,17
Família,Avançado,Família Avançado 18: Projeto avançado em família,Programa,21 dias,3,1,3,18
Família,Avançado,Família Avançado 19: Projeto avançado em família,Programa,21 dias,3,1,3,19
Família,Avançado,Família Avançado 20: Projeto avançado em família,Programa,21 dias,3,1,3,20
Igreja,Básico,Igreja Básico 1: Atividade simples na igreja,Diário,21 dias,1,2,1,1
Igreja,Básico,Igreja Básico 2: Atividade simples na igreja,Diário,21 dias,1,2,1,2
