ID,Area,Dimensao,Estrategia,Frequencia,Periodo,FreqCodigo,PeriodoCodigo,Peso,OrdemArea,OrdemDimensao,OrdemEstrategia
FaB001-1d21d,Família,Básico,Família Básico – Estratégia 1,Diário,21 dias,1d,21d,1,1,1,1
FaB002-1d21d,Família,Básico,Família Básico – Estratégia 2,Diário,21 dias,1d,21d,1,1,1,2
FaB003-1d21d,Família,Básico,Família Básico – Estratégia 3,Diário,21 dias,1d,21d,1,1,1,3
FaB004-1d21d,Família,Básico,Família Básico – Estratégia 4,Diário,21 dias,1d,21d,1,1,1,4
FaB005-1d21d,Família,Básico,Família Básico – Estratégia 5,Diário,21 dias,1d,21d,1,1,1,5
FaB006-1d21d,Família,Básico,Família Básico – Estratégia 6,Diário,21 dias,1d,21d,1,1,1,6
FaB007-1d21d,Família,Básico,Família Básico – Estratégia 7,Diário,21 dias,1d,21d,1,1,1,7
FaB008-1d21d,Família,Básico,Família Básico – Estratégia 8,Diário,21 dias,1d,21d,1,1,1,8
FaB009-1d21d,Família,Básico,Família Básico – Estratégia 9,Diário,21 dias,1d,21d,1,1,1,9
FaB010-1d21d,Família,Básico,Família Básico – Estratégia 10,Diário,21 dias,1d,21d,1,1,1,10
FaB011-1d21d,Família,Básico,Família Básico – Estratégia 11,Diário,21 dias,1d,21d,1,1,1,11
FaB012-1d21d,Família,Básico,Família Básico – Estratégia 12,Diário,21 dias,1d,21d,1,1,1,12
FaB013-1d21d,Família,Básico,Família Básico – Estratégia 13,Diário,21 dias,1d,21d,1,1,1,13
FaB014-1d21d,Família,Básico,Família Básico – Estratégia 14,Diário,21 dias,1d,21d,1,1,1,14
FaB015-1d21d,Família,Básico,Família Básico – Estratégia 15,Diário,21 dias,1d,21d,1,1,1,15
FaB016-1d21d,Família,Básico,Família Básico – Estratégia 16,Diário,21 dias,1d,21d,1,1,1,16
FaB017-1d21d,Família,Básico,Família Básico – Estratégia 17,Diário,21 dias,1d,21d,1,1,1,17
FaB018-1d21d,Família,Básico,Família Básico – Estratégia 18,Diário,21 dias,1d,21d,1,1,1,18
FaB019-1d21d,Família,Básico,Família Básico – Estratégia 19,Diário,21 dias,1d,21d,1,1,1,19
FaB020-1d21d,Família,Básico,Família Básico – Estratégia 20,Diário,21 dias,1d,21d,1,1,1,20
FaD001-1s02s,Família,Desafio,Família Desafio – Estratégia 1,Semanal,2 semanas,1s,02s,2,1,2,1
FaD002-1s02s,Família,Desafio,Família Desafio – Estratégia 2,Semanal,2 semanas,1s,02s,2,1,2,2
FaD003-1s02s,Família,Desafio,Família Desafio – Estratégia 3,Semanal,2 semanas,1s,02s,2,1,2,3
FaD004-1s02s,Família,Desafio,Família Desafio – Estratégia 4,Semanal,2 semanas,1s,02s,2,1,2,4
FaD005-1s02s,Família,Desafio,Família Desafio – Estratégia 5,Semanal,2 semanas,1s,02s,2,1,2,5
FaD006-1s02s,Família,Desafio,Família Desafio – Estratégia 6,Semanal,2 semanas,1s,02s,2,1,2,6
FaD007-1s02s,Família,Desafio,Família Desafio – Estratégia 7,Semanal,2 semanas,1s,02s,2,1,2,7
FaD008-1s02s,Família,Desafio,Família Desafio – Estratégia 8,Semanal,2 semanas,1s,02s,2,1,2,8
FaD009-1s02s,Família,Desafio,Família Desafio – Estratégia 9,Semanal,2 semanas,1s,02s,2,1,2,9
FaD010-1s02s,Família,Desafio,Família Desafio – Estratégia 10,Semanal,2 semanas,1s,02s,2,1,2,10
FaD011-1s02s,Família,Desafio,Família Desafio – Estratégia 11,Semanal,2 semanas,1s,02s,2,1,2,11
FaD012-1s02s,Família,Desafio,Família Desafio – Estratégia 12,Semanal,2 semanas,1s,02s,2,1,2,12
FaD013-1s02s,Família,Desafio,Família Desafio – Estratégia 13,Semanal,2 semanas,1s,02s,2,1,2,13
FaD014-1s02s,Família,Desafio,Família Desafio – Estratégia 14,Semanal,2 semanas,1s,02s,2,1,2,14
FaD015-1s02s,Família,Desafio,Família Desafio – Estratégia 15,Semanal,2 semanas,1s,02s,2,1,2,15
FaD016-1s02s,Família,Desafio,Família Desafio – Estratégia 16,Semanal,2 semanas,1s,02s,2,1,2,16
FaD017-1s02s,Família,Desafio,Família Desafio – Estratégia 17,Semanal,2 semanas,1s,02s,2,1,2,17
FaD018-1s02s,Família,Desafio,Família Desafio – Estratégia 18,Semanal,2 semanas,1s,02s,2,1,2,18
FaD019-1s02s,Família,Desafio,Família Desafio – Estratégia 19,Semanal,2 semanas,1s,02s,2,1,2,19
FaD020-1s02s,Família,Desafio,Família Desafio – Estratégia 20,Semanal,2 semanas,1s,02s,2,1,2,20
FaA001-1d21d,Família,Avançado,Família Avançado – Estratégia 1,Programa,21 dias,1d,21d,3,1,3,1
FaA002-1d21d,Família,Avançado,Família Avançado – Estratégia 2,Programa,21 dias,1d,21d,3,1,3,2
FaA003-1d21d,Família,Avançado,Família Avançado – Estratégia 3,Programa,21 dias,1d,21d,3,1,3,3
FaA004-1d21d,Família,Avançado,Família Avançado – Estratégia 4,Programa,21 dias,1d,21d,3,1,3,4
FaA005-1d21d,Família,Avançado,Família Avançado – Estratégia 5,Programa,21 dias,1d,21d,3,1,3,5
FaA006-1d21d,Família,Avançado,Família Avançado – Estratégia 6,Programa,21 dias,1d,21d,3,1,3,6
FaA007-1d21d,Família,Avançado,Família Avançado – Estratégia 7,Programa,21 dias,1d,21d,3,1,3,7
FaA008-1d21d,Família,Avançado,Família Avançado – Estratégia 8,Programa,21 dias,1d,21d,3,1,3,8
FaA009-1d21d,Família,Avançado,Família Avançado – Estratégia 9,Programa,21 dias,1d,21d,3,1,3,9
FaA010-1d21d,Família,Avançado,Família Avançado – Estratégia 10,Programa,21 dias,1d,21d,3,1,3,10
FaA011-1d21d,Família,Avançado,Família Avançado – Estratégia 11,Programa,21 dias,1d,21d,3,1,3,11
FaA012-1d21d,Família,Avançado,Família Avançado – Estratégia 12,Programa,21 dias,1d,21d,3,1,3,12
FaA013-1d21d,Família,Avançado,Família Avançado – Estratégia 13,Programa,21 dias,1d,21d,3,1,3,13
FaA014-1d21d,Família,Avançado,Família Avançado – Estratégia 14,Programa,21 dias,1d,21d,3,1,3,14
FaA015-1d21d,Família,Avançado,Família Avançado – Estratégia 15,Programa,21 dias,1d,21d,3,1,3,15
